Enable / Disable AJAX-ZOOM for this product,Включить/Выключить AJAX-ZOOM для этого товара
AJAX ZOOM enabled for this product's detail view,AJAX ZOOM включен для страницы просмотра этого товара
Yes,Да
No,Нет
SETTINGS FOR EXISTING 360/3D,НАСТРОЙКИ ДЛЯ СУЩЕСТВУЮЩИХ 360/3D
360/3D View,360/3D вид
Settings,Настройки
Name,Имя
Value,Значение
Add an option,Добавть опцию
Edit,Редактировать
Delete,Удалить
360/3D Views,360/3D виды
Add a new 360/3D view,Добавить новый 360/3D вид
Create a new, Создать новый
Please enter any name,Пожалуйста введите имя
OR,ИЛИ
Add to existing 3D as next row,Добавить к существующемы 3D следющей строкой
Select,Выбрать
You should not select anything here unless you want to create 3D (not 360) which contains more than one row!,
Add images from ZIP archive,Добавить изображения из ZIP архива
This is the most easy and quick way of adding 360 views to your product! Upload over FTP your 360's zipped (each images set in one zip file) to /modules/ajaxzoom/zip/ directory. After you did so these zip files will instantly appear in the select field below. All you have to do then is select one of the zip files and press 'add' button. Images from the selected zip file will be instantly imported.,Это самый простой способ добавления 3D/360 видов для вашего товара! Upload over FTP your 360's zipped (each images set in one zip file) to /modules/ajaxzoom/zip/ directory. After you did so these zip files will instantly appear in the select field below. All you have to do then is select one of the zip files and press 'add' button. Images from the selected zip file will be instantly imported.
Select ZIP archive,Выберите ZIP архив
Add,Добавить
Cover Image,Основное изображение 
Active,Активно
Actions,Действия
Delete,Удалить
Images,Изображения
Preview,Просмотр
Are you sure?,Вы уверены?
Add a new image to this image set,Добавить новое изображение к этому набору
Image,Изображение
Delete this image,Удалить изображение
Cancel,Отменить
Add files...,Добавить фалы...
Upload files,Загрузить файлы
License,Лицензия
Domain,Домен
License Type,Тип лицензии
License Key,Лицензионный ключ
Error200,Ошибка200
Error300, Ошибка300
Licenses,Лицензии
General Settings,Основные настройки
Settings for pinterest button,Настройки для кнопки Pinterest,
mouseOverZoomParam - JS object containing specific options to this mouseover zoom,mouseOverZoomParam - JS object containing specific options to this mouseover zoom
"DIV (container) ID for mouseover zoom","DIV (container) ID for mouseover zoom"
"DIV (container) id of the gallery, set to false to disable gallery","DIV (container) id of the gallery, set to false to disable gallery"
some...,описание...
"Instantly hide gallery if there is only one image or one 360/3D","Instantly hide gallery if there is only one image or one 360/3D"
"Use mouseenter (mouseover) for switching between images. You can specify an integer which will represent the time in ms to wait for switching after the mouse enters the thumb; true defaults to 200","Use mouseenter (mouseover) for switching between images. You can specify an integer which will represent the time in ms to wait for switching after the mouse enters the thumb; true defaults to 200"
"Use $.axZmThumbSlider on gallery thumbnails or not","Use $.axZmThumbSlider on gallery thumbnails or not"
